Rank ▾,Percentile,Pilot Name,Games Played,W/L Ratio,Survive Rate,K/D Ratio,Average Score,Adjusted Score,Progress,Light,Medium,Heavy,Assault
Retired,,Three Cats In A Trench Coat,26,0.86,23%,1.3,340,59.2,,50%,0%,0%,0%
Retired,,ArtilleryHamster [FJRD],3183,1.27,31%,1.21,264,282.1,,63%,22%,4%,4%
Retired,,MechDiddy,53,2,40%,1.72,290,93.7,,45%,55%,0%,0%
Retired,,rjsc2006 [228R],10018,1.73,40%,2.32,395,400.4,,18%,15%,20%,46%
Not Found,,GLadDOSauR,,,,,,,,%,%,%,%
Retired,,SirEpicPwner [228R],8210,1.65,47%,2.79,363,372,,18%,24%,27%,28%
Retired,,WhiskeyTangoFox007,3754,1.58,43%,1.93,343,372.5,,3%,8%,24%,61%
Retired,,StoneTempleCopilot [ISMO],9457,1.73,46%,2.08,332,343.7,,9%,18%,38%,32%
Retired,,toribell,27,1.7,30%,0.42,142,24.7,,0%,0%,37%,0%
Retired,,giggitygiggitygoo [KDCM],9903,1.67,43%,1.73,331,366.1,,20%,19%,28%,28%
Retired,,Val_Z [ISEN],1506,1.33,36%,1.74,349,349.5,,25%,17%,9%,45%
Retired,,Lousyten [C-XF],2509,2.5,56%,2.52,364,366.5,,15%,34%,32%,13%
Retired,,Capn Cat [C-XF],13487,1.81,46%,2.02,313,321.7,,18%,25%,22%,32%
Retired,,CarbonFire [(ME)],3377,2.42,46%,2.18,337,337.1,,1%,12%,22%,54%
Retired,,GROLSCH [JGx],16005,1.96,41%,2.14,335,351.6,,17%,14%,11%,55%
Retired,,PASHA [JGx],2767,5.55,77%,8.36,450,447.7,,2%,5%,11%,72%
Retired,,Krasnopesky [JGx],11319,2.39,58%,4.38,417,468.1,,20%,16%,14%,47%
Retired,,JP Jango [JGx],3123,1.95,51%,2.89,420,438.9,,39%,46%,6%,2%
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Rank,Percentile,Games Played,W/L Ratio,Survive Rate,K/D Ratio,Average Score,Adjusted Score,Progress,,,,,
3562,81.88%,3338195,1.29,37%,1.48,281,284.7,8%,,,,,
,,,,,,,,,,,,,
ad was blocked,,,,,,,,,,,,,
,,,,,,,,,,,,,
Database Season: 114,,,,,,,,,,,,,
Database last modified: 10 February 2026,,,,,,,,,,,,,
"Current active players: 19,662",,,,,,,,,,,,,
"Current retired players: 369,171",,,,,,,,,,,,,
,,,,,,,,,,,,,
Ranks are determined by adjusted match score for players who have been active in the last three months.,,,,,,,,,,,,,
"Players who have stopped playing are still tracked but are placed into ""retirement"". They will be placed back into ranks if they return but",,,,,,,,,,,,,
their latest performance will have significant effect on their placement when returning.,,,,,,,,,,,,,
,,,,,,,,,,,,,
How Adjusted Score Formula is calculated: ((Season Average Match Score)*((Season#+1)^1.8))*(-(1.007^(-TotalGamesPlayed)-1))*(ClassMultiplier),,,,,,,,,,,,,
"This will give full score around 500 games and each new season is weighed higher than the last. After this, the score is adjusted based on classes played.",,,,,,,,,,,,,
,,,,,,,,,,,,,
The weight class coefficients are derived from each classes' recent global performance. The current class weights are:,,,,,,,,,,,,,
"Light: 1.1, Medium: 1, Heavy: 1, Assault: 0.95.",,,,,,,,,,,,,
,,,,,,,,,,,,,
Progress is the progress a pilot has made in the current season compared to their average score.,,,,,,,,,,,,,
